date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42 | 
2012-01-11 | 1
2012-01-11 | 2147483648
2012-01-12 | -500.25
2012-01-13 | 0.000000001
2013-05-20 | 9223372036854775807
2013-05-21 | -2147483649
2014-12-31 | 42.42
2015-00-00 | 10
2016-02-29 | -0.0001
2017-07-07 | 3000000000
2018-13-01 | 5
2019-11-11 | -9999999999
2020-01-01 | 0.5
2020-01-02 | -1.1
2020-01-03 | 8589934592
2021-06-15 | 0.0003
2022-02-30 | 99
2022-08-12 | -42
2023-01-01 | 123456789.123456789
2023-01-02 | 2147483647
2023-01-03 | -2147483648
2023-01-04 | 2147483649
2024-04-01 | -0.0000001
2020-12-25 | 1000000000000
2011-01-03 | 0.00123
2011-01-03 | 5555555555
2012-05-05 | -100
2012-06-06 | 0.0
2012-07-07 | 777.777
2013-01-01 | 123456789012345
2013-01-02 | -0.555
2014-02-14 | 2.0
2015-03-15 | 3.14159265
2016-12-12 | -121212121212
2017-01-01 | 1.000001
2018-05-05 | 5000000000
2019-09-09 | -9.9
2020-10-10 | 101010101010
2021-12-25 | 0.12345
2026-02-07 | 0.75
2025-10-10 | -10.5
1999-12-31 | 999
